name,oblast_name,doctors_to_people_ration,decl_count,full_name
Коростенський район,Житомирська,22.75960170697013,66298,"Коростенський район, Житомирська область"
м. Чернігів,Чернігівська,11.41593449285757,227361,"м. Чернігів, Чернігівська область"
м. Київ,м. Київ,4.350093344059046,1766276,м. Київ
м. Харків,Харківська,4.236106268739976,916512,"м. Харків, Харківська область"
м. Чернівці,Чернівецька,3.5798757551578713,178343,"м. Чернівці, Чернівецька область"
м. Львів,Львівська,2.9343241496483894,612158,"м. Львів, Львівська область"
Здолбунівський район,Рівненська,2.7922325168168545,42973,"Здолбунівський район, Рівненська область"
м. Тернопіль,Тернопільська,2.402842352545963,227756,"м. Тернопіль, Тернопільська область"
м. Суми,Сумська,2.2657119270665094,229460,"м. Суми, Сумська область"
м. Черкаси,Черкаська,2.252859917979711,223190,"м. Черкаси, Черкаська область"
м. Запоріжжя,Запорізька,2.0150706968080603,521505,"м. Запоріжжя, Запорізька область"
Кам`янка-Бузький район,Львівська,2.009858355232415,43133,"Кам`янка-Бузький район, Львівська область"
Лубенський район,Полтавська,1.9484147991294631,63777,"Лубенський район, Полтавська область"
Слов`янський район,Донецька,1.6080789888399318,115706,"Слов`янський район, Донецька область"
Хмельницький район,Хмельницька,1.5761643278421802,34362,"Хмельницький район, Хмельницька область"
Лохвицький район,Полтавська,1.5088829398880508,33011,"Лохвицький район, Полтавська область"
Павлоградський район,Дніпропетровська,1.3551585178845262,104907,"Павлоградський район, Дніпропетровська область"
м. Сміла,Черкаська,1.3143582306018853,63510,"м. Сміла, Черкаська область"
м. Кривий Ріг,Дніпропетровська,1.2957422093499662,423411,"м. Кривий Ріг, Дніпропетровська область"
м. Вінниця,Вінницька,1.187970443689708,307672,"м. Вінниця, Вінницька область"
Чемеровецький район,Хмельницька,1.1529189812388638,28728,"Чемеровецький район, Хмельницька область"
м. Одеса,Одеська,1.0559166529788582,579904,"м. Одеса, Одеська область"
м. Буча,Київська,1.0398322851153041,107013,"м. Буча, Київська область"
Городоцький район,Львівська,1.0384287880151473,55743,"Городоцький район, Львівська область"
Турківський район,Львівська,1.0342972984154566,25387,"Турківський район, Львівська область"
м. Ужгород,Закарпатська,0.9842797849397396,79878,"м. Ужгород, Закарпатська область"
Нікопольський район,Дніпропетровська,0.9181643514189041,115327,"Нікопольський район, Дніпропетровська область"
Підгаєцький район,Тернопільська,0.9045680687471732,28222,"Підгаєцький район, Тернопільська область"
Кременецький район,Тернопільська,0.8331181111546184,44752,"Кременецький район, Тернопільська область"
м. Миколаїв,Миколаївська,0.8295896786442614,302005,"м. Миколаїв, Миколаївська область"
Вижницький район,Чернівецька,0.8203866071886377,38397,"Вижницький район, Чернівецька область"
Новоград-Волинський район,Житомирська,0.8033649514824952,77175,"Новоград-Волинський район, Житомирська область"
Бахмутський район,Донецька,0.7926442612555485,108030,"Бахмутський район, Донецька область"
Чортківський район,Тернопільська,0.7704555960758128,51293,"Чортківський район, Тернопільська область"
м. Рівне,Рівненська,0.769405634147621,252114,"м. Рівне, Рівненська область"
Балаклійський район,Харківська,0.7562794830829732,57484,"Балаклійський район, Харківська область"
м. Червоноград,Львівська,0.7435487190381666,71876,"м. Червоноград, Львівська область"
м. Кам`янське,Дніпропетровська,0.7395688168784106,167694,"м. Кам`янське, Дніпропетровська область"
м. Краматорськ,Донецька,0.6833577315031049,139676,"м. Краматорськ, Донецька область"
